//_
328,573,530,123,basalt
319,119,702,314,grass
133,208,266,147,grass
534,318,214,97,grass
153,292,238,95,grass
182,276,264,44,limeStone
183,206,643,110,sandStone
565,6,135,130,sandStone
//_
//
640,243,482,182,basalt
18,529,1347,238,sandStone
248,525,677,57,gravel
981,574,384,193,chalk
0,0,699,269,basalt
1058,516,364,59,grass
158,108,27,3,basalt
692,0,673,274,basalt
968,224,475,200,basalt
//
640,243,482,182,basalt
//
640,243,482,182,basalt
//
640,243,482,182,basalt
//
640,243,482,182,basalt
//
640,243,482,182,basalt
//
640,243,482,182,basalt
//
640,243,482,182,basalt
//
640,243,482,182,basalt
//
640,243,482,182,basalt
//
//
